index;won;lost
9999;0;16
9998;0;2
9997;0;8
9996;0;2
9995;0;45
9994;0;175
9993;0;4
9992;0;44
9991;0;15
9990;0;73
9989;0;7
9988;0;2
9987;0;178
9986;0;6
9985;0;358
9984;9;0
9983;0;9
9982;0;248
9981;0;7
9980;0;9
9979;0;21
9978;0;38
9977;2;0
9976;0;4
9975;0;73
9974;0;241
9973;0;6
9972;0;402
9971;0;13
9970;0;8
9969;0;75
9968;0;3
9967;0;18
9966;25;0
9965;0;36
9964;0;2
9963;0;2
9962;54;0
9961;0;42
9960;0;3
9959;0;3
9958;0;23
9957;0;2
9956;0;6
9955;0;81
9954;0;3
9953;2;0
9952;0;2
9951;0;11
9950;1;0
9949;0;12
9948;0;18
9947;0;33
9946;0;13
9945;0;13
9944;19;0
9943;0;3
9942;0;167
9941;0;477
9940;0;298
9939;0;11
9938;0;25
9937;0;7
9936;1;0
9935;0;3
9934;0;5
9933;0;3
9932;0;151
9931;0;15
9930;0;10
9929;309;0
9928;0;2
9927;0;16
9926;0;4
9925;0;9
9924;0;152
9923;0;9
9922;0;29
9921;0;490
9920;0;5
9919;0;13
9918;0;2
9917;0;81
9916;0;40
9915;0;12
9914;0;2
9913;0;19
9912;1;0
9911;0;268
9910;0;2
9909;0;3
9908;0;17
9907;0;25
9906;0;8
9905;0;743
9904;0;21
9903;0;78
9902;31;0
9901;0;187
9900;0;2
9899;0;41
9898;1;0
9897;0;4
9896;0;70
9895;0;4
9894;0;18
9893;0;28
9892;0;8
9891;0;2
9890;0;4
9889;0;301
9888;0;3
9887;0;2
9886;1;0
9885;0;10
9884;0;5
9883;0;62
9882;0;36
9881;0;20
9880;0;24
9879;0;2
9878;0;8
9877;1;0
9876;0;284
9875;0;335
9874;0;6
9873;0;20
9872;0;13
9871;0;2
9870;0;46
9869;0;12
9868;0;42
9867;0;166
9866;0;11
9865;0;3
9864;0;11
9863;0;15
9862;0;5
9861;0;217
9860;0;3
9859;0;122
9858;0;22
9857;0;316
9856;1;0
9855;0;107
9854;0;37
9853;0;15
9852;0;8
9851;0;58
9850;0;2
9849;0;18
9848;0;3
9847;0;11
9846;81;0
9845;0;11
9844;0;361
9843;0;46
9842;0;988
9841;0;9
9840;0;2
9839;0;500
9838;0;2
9837;103;0
9836;0;3
9835;0;67
9834;0;8
9833;0;6
9832;0;256
9831;0;337
9830;0;321
9829;0;43
9828;0;3
9827;0;28
9826;0;9
9825;0;9
9824;0;12
9823;0;51
9822;27;0
9821;1;0
9820;0;3
9819;1;0
9818;0;36
9817;0;2
9816;0;644
9815;0;58
9814;13;0
9813;0;7
9812;0;6
9811;0;2
9810;0;12
9809;1;0
9808;0;3
9807;13;0
9806;0;6
9805;0;6
9804;0;9
9803;2;0
9802;1;0
9801;0;11
9800;0;52
9799;1;0
9798;0;3
9797;0;17
9796;0;6
9795;0;47
9794;0;18
9793;0;5
9792;0;9
9791;0;15
9790;0;4
9789;0;2
9788;0;17
9787;0;15
9786;0;651
9785;0;195
9784;0;3
9783;0;3
9782;0;23
9781;0;19
9780;0;10
9779;0;208
9778;0;7
9777;0;570
9776;0;4
9775;0;362
9774;0;4
9773;0;8
9772;0;3
9771;1;0
9770;1;0
9769;0;307
9768;0;7
9767;0;36
9766;0;24
9765;0;2
9764;0;22
9763;0;6
9762;0;5
9761;0;86
9760;0;2
9759;258;0
9758;0;140
9757;0;306
9756;0;53
9755;0;7
9754;0;5
9753;0;17
9752;0;11
9751;0;2
9750;0;5
9749;0;12
9748;0;91
9747;0;308
9746;0;12
9745;3;0
9744;0;3
9743;1;0
9742;0;6
9741;5;0
9740;0;954
9739;0;13
9738;1;0
9737;0;21
9736;0;8
9735;0;9
9734;0;3
9733;0;6
9732;10;0
9731;0;5
9730;0;15
9729;0;10
9728;0;4
9727;0;443
9726;0;452
9725;0;23
9724;0;2
9723;0;10
9722;0;5
9721;0;27
9720;0;22
9719;0;105
9718;0;11
9717;15;0
9716;0;322
9715;0;943
9714;0;942
9713;0;70
9712;0;5
9711;0;10
9710;0;32
9709;0;160
9708;0;9
9707;0;6
9706;0;3
9705;0;53
9704;0;2
9703;0;406
9702;0;4
9701;0;3
9700;0;2
9699;0;28
9698;0;42
9697;1;0
9696;0;14
9695;0;12
9694;0;3
9693;0;6
9692;0;14
9691;0;5
9690;0;33
9689;0;14
9688;0;272
9687;1;0
9686;0;15
9685;0;7
9684;0;14
9683;1;0
9682;0;80
9681;0;107
9680;0;24
9679;0;6
9678;0;2
9677;0;3
9676;0;11
9675;0;16
9674;0;124
9673;0;896
9672;0;3
9671;0;50
9670;0;43
9669;0;998
9668;0;23
9667;0;32
9666;0;130
9665;0;102
9664;0;31
9663;0;165
9662;0;56
9661;0;4
9660;0;23
9659;0;8
9658;0;3
9657;0;7
9656;0;9
9655;0;54
9654;0;8
9653;0;6
9652;0;3
9651;0;4
9650;0;57
9649;0;44
9648;0;219
9647;0;17
9646;0;4
9645;0;3
9644;0;4
9643;0;2
9642;0;2
9641;0;4
9640;0;16
9639;1;0
9638;1;0
9637;0;21
9636;0;12
9635;0;10
9634;0;2
9633;0;25
9632;0;12
9631;0;10
9630;0;9
9629;7;0
9628;0;52
9627;0;32
9626;0;293
9625;0;279
9624;0;210
9623;0;4
9622;0;169
9621;0;18
9620;6;0
9619;0;2
9618;1;0
9617;0;14
9616;0;5
9615;0;69
9614;1;0
9613;0;13
9612;0;16
9611;0;4
9610;0;5
9609;0;2
9608;0;3
9607;0;10
9606;0;3
9605;0;6
9604;0;4
9603;0;9
9602;0;3
9601;0;170
9600;0;98
9599;0;120
9598;0;62
9597;13;0
9596;0;278
9595;0;7
9594;1;0
9593;0;31
9592;0;2
9591;721;0
9590;0;163
9589;0;12
9588;1;0
9587;1;0
9586;0;59
9585;0;141
9584;0;155
9583;0;5
9582;0;846
9581;0;6
9580;0;8
9579;0;4
9578;0;134
9577;0;2
9576;0;6
9575;0;103
9574;0;3
9573;0;29
9572;0;3
9571;0;7
9570;0;169
9569;0;5
9568;0;17
9567;2;0
9566;0;7
9565;0;9
9564;0;15
9563;0;2
9562;0;4
9561;0;42
9560;0;5
9559;1;0
9558;0;2
9557;0;17
9556;0;59
9555;0;8
9554;0;44
9553;0;9
9552;0;4
9551;0;3
9550;0;22
9549;0;87
9548;0;4
9547;0;63
9546;0;3
9545;0;2
9544;0;2
9543;0;5
9542;6;0
9541;0;7
9540;0;62
9539;0;4
9538;0;3
9537;0;6
9536;0;4
9535;0;11
9534;0;4
9533;2;0
9532;0;203
9531;0;10
9530;0;3
9529;0;29
9528;0;2
9527;0;291
9526;0;9
9525;0;35
9524;0;39
9523;0;153
9522;0;431
9521;0;141
9520;0;3
9519;0;300
9518;1;0
9517;0;17
9516;0;4
9515;0;105
9514;0;41
9513;0;2
9512;0;2
9511;0;3
9510;362;0
9509;1;0
9508;0;29
9507;0;115
9506;0;9
9505;0;3
9504;0;6
9503;5;0
9502;0;281
9501;0;7
9500;0;3
9499;0;8
9498;0;8
9497;0;8
9496;1;0
9495;0;5
9494;0;2
9493;0;77
9492;0;3
9491;0;8
9490;0;29
9489;0;48
9488;0;36
9487;0;2
9486;0;873
9485;0;54
9484;0;10
9483;0;49
9482;0;50
9481;0;531
9480;0;2
9479;0;2
9478;0;55
9477;0;15
9476;0;2
9475;136;0
9474;0;12
9473;0;2
9472;1;0
9471;0;294
9470;1;0
9469;0;310
9468;36;0
9467;0;13
9466;0;290
9465;0;360
9464;0;9
9463;0;11
9462;0;3
9461;0;9
9460;1;0
9459;0;2
9458;1;0
9457;0;78
9456;0;58
9455;0;5
9454;0;11
9453;0;96
9452;0;35
9451;8;0
9450;0;492
9449;0;5
9448;0;2
9447;0;77
9446;0;38
9445;0;68
9444;0;7
9443;0;8
9442;0;2
9441;0;218
9440;1;0
9439;0;4
9438;0;4
9437;0;7
9436;0;16
9435;0;27
9434;1;0
9433;0;475
9432;0;5
9431;0;75
9430;0;2
9429;0;10
9428;0;611
9427;0;3
9426;0;4
9425;0;3
9424;0;43
9423;0;477
9422;1;0
9421;0;4
9420;1;0
9419;0;461
9418;0;14
9417;0;29
9416;0;2
9415;0;43
9414;0;47
9413;0;13
9412;0;154
9411;0;7
9410;0;11
9409;0;4
9408;0;10
9407;0;115
9406;0;9
9405;0;47
9404;0;152
9403;11;0
9402;0;4
9401;0;40
9400;0;10
9399;8;0
9398;0;57
9397;0;11
9396;0;389
9395;0;2
9394;0;44
9393;0;84
9392;0;11
9391;0;44
9390;0;18
9389;0;5
9388;0;141
9387;0;32
9386;0;25
9385;0;14
9384;0;8
9383;17;0
9382;0;82
9381;0;3
9380;0;44
9379;0;15
9378;4;0
9377;1;0
9376;0;16
9375;0;15
9374;0;296
9373;1;0
9372;0;7
9371;0;8
9370;0;105
9369;0;3
9368;0;7
9367;0;299
9366;0;3
9365;0;7
9364;0;13
9363;0;15
9362;0;480
9361;0;73
9360;1;0
9359;0;4
9358;0;7
9357;0;3
9356;0;53
9355;0;13
9354;0;13
9353;0;126
9352;0;2
9351;0;214
9350;0;12
9349;0;2
9348;0;9
9347;0;4
9346;4;0
9345;0;13
9344;0;2
9343;0;9
9342;0;284
9341;0;6
9340;3;0
9339;0;4
9338;0;6
9337;0;247
9336;0;5
9335;0;3
9334;0;13
9333;5;0
9332;0;4
9331;0;554
9330;0;9
9329;0;7
9328;0;9
9327;0;142
9326;0;10
9325;0;70
9324;0;35
9323;0;42
9322;0;75
9321;0;7
9320;1;0
9319;0;7
9318;1;0
9317;0;34
9316;0;4
9315;1;0
9314;0;11
9313;0;34
9312;0;65
9311;0;723
9310;0;7
9309;0;8
9308;0;431
9307;0;164
9306;0;639
9305;0;3
9304;183;0
9303;0;126
9302;0;47
9301;0;655
9300;0;150
9299;0;3
9298;0;2
9297;0;170
9296;0;4
9295;0;40
9294;0;10
9293;0;15
9292;0;14
9291;0;5
9290;0;4
9289;0;322
9288;0;2
9287;0;47
9286;0;77
9285;0;5
9284;0;4
9283;0;334
9282;0;18
9281;0;16
9280;0;10
9279;0;53
9278;0;2
9277;0;511
9276;0;53
9275;0;3
9274;0;3
9273;0;10
9272;2;0
9271;0;125
9270;0;66
9269;0;2
9268;0;8
9267;0;33
9266;0;2
9265;0;44
9264;0;3
9263;0;10
9262;0;11
9261;0;14
9260;0;30
9259;0;2
9258;0;112
9257;0;5
9256;0;3
9255;0;25
9254;6;0
9253;0;9
9252;0;8
9251;0;59
9250;1;0
9249;0;2
9248;0;4
9247;0;8
9246;0;5
9245;0;2
9244;0;40
9243;0;3
9242;0;467
9241;398;0
9240;0;136
9239;0;16
9238;0;22
9237;0;4
9236;1;0
9235;0;3
9234;0;5
9233;0;381
9232;0;31
9231;0;222
9230;0;9
9229;0;44
9228;0;7
9227;0;5
9226;0;3
9225;0;25
9224;0;338
9223;0;8
9222;0;129
9221;0;27
9220;0;4
9219;0;2
9218;0;2
9217;0;20
9216;0;3
9215;0;215
9214;0;18
9213;0;477
9212;0;9
9211;0;1136
9210;0;445
9209;0;3
9208;0;2
9207;0;5
9206;0;30
9205;6;0
9204;0;4
9203;1;0
9202;0;5
9201;0;15
9200;5;0
9199;0;3
9198;0;455
9197;0;39
9196;0;12
9195;0;2
9194;0;8
9193;0;16
9192;1;0
9191;0;26
9190;5;0
9189;0;56
9188;0;106
9187;0;58
9186;29;0
9185;0;14
9184;0;5
9183;0;13
9182;0;15
9181;1;0
9180;0;7
9179;0;3
9178;0;420
9177;0;350
9176;0;141
9175;0;155
9174;0;4
9173;0;18
9172;0;5
9171;0;8
9170;0;279
9169;0;2
9168;0;122
9167;0;8
9166;0;5
9165;0;77
9164;0;193
9163;0;41
9162;0;16
9161;0;58
9160;0;4
9159;0;27
9158;0;338
9157;0;323
9156;0;121
9155;1;0
9154;0;5
9153;0;3
9152;1;0
9151;0;301
9150;0;2
9149;0;72
9148;0;2
9147;2;0
9146;0;3
9145;0;2
9144;1;0
9143;0;9
9142;0;398
9141;1;0
9140;0;20
9139;0;8
9138;0;6
9137;0;185
9136;0;89
9135;0;3
9134;0;19
9133;0;3
9132;0;25
9131;0;464
9130;0;14
9129;0;9
9128;0;10
9127;0;5
9126;0;37
9125;0;3
9124;0;2
9123;0;4
9122;0;228
9121;0;182
9120;0;842
9119;0;260
9118;0;5
9117;0;2
9116;0;597
9115;0;2
9114;0;3
9113;0;28
9112;0;33
9111;0;7
9110;0;7
9109;0;40
9108;0;103
9107;0;7
9106;0;4
9105;0;3
9104;0;3
9103;0;4
9102;0;362
9101;0;2
9100;0;6
9099;0;8
9098;0;82
9097;0;3
9096;0;2
9095;0;75
9094;0;10
9093;0;141
9092;0;13
9091;0;2
9090;0;493
9089;0;297
9088;0;31
9087;0;295
9086;0;3
9085;0;17
9084;0;85
9083;1;0
9082;0;29
9081;8;0
9080;0;361
9079;0;74
9078;0;289
9077;0;16
9076;0;28
9075;0;27
9074;0;174
9073;0;238
9072;20;0
9071;0;30
9070;0;7
9069;0;4
9068;1;0
9067;1;0
9066;0;4
9065;0;415
9064;0;3
9063;1;0
9062;0;17
9061;211;0
9060;0;17
9059;0;15
9058;1;0
9057;0;280
9056;0;82
9055;1;0
9054;0;13
9053;1;0
9052;0;804
9051;0;28
9050;0;848
9049;0;9
9048;0;7
9047;0;13
9046;1;0
9045;0;46
9044;0;15
9043;0;1271
9042;0;6
9041;0;4
9040;0;361
9039;0;41
9038;0;15
9037;0;3
9036;0;6
9035;0;19
9034;0;16
9033;1;0
9032;0;4
9031;1;0
9030;0;280
9029;0;71
9028;1;0
9027;0;50
9026;0;2
9025;0;3
9024;0;150
9023;0;26
9022;0;54
9021;0;3
9020;0;18
9019;0;288
9018;0;5
9017;0;249
9016;0;2
9015;0;7
9014;0;36
9013;0;3
9012;0;2
9011;0;14
9010;0;4
9009;0;81
9008;3;0
9007;0;87
9006;0;3
9005;7;0
9004;0;60
9003;0;26
9002;0;2
9001;0;4
9000;76;0
8999;0;9
8998;175;0
8997;0;271
8996;0;122
8995;0;55
8994;0;17
8993;8;0
8992;0;14
8991;0;11
8990;232;0
8989;0;2
8988;0;5
8987;0;3
8986;1;0
8985;0;32
8984;0;4
8983;0;12
8982;0;10
8981;0;2
8980;0;4
8979;17;0
8978;0;17
8977;0;4
8976;1;0
8975;0;8
8974;0;9
8973;0;57
8972;0;5
8971;0;20
8970;0;5
8969;0;5
8968;0;2
8967;0;129
8966;71;0
8965;0;11
8964;0;615
8963;0;70
8962;0;221
8961;0;3
8960;0;402
8959;0;7
8958;0;2
8957;0;7
8956;0;46
8955;0;10
8954;18;0
8953;0;142
8952;0;7
8951;0;41
8950;0;7
8949;0;7
8948;4;0
8947;0;25
8946;0;12
8945;1;0
8944;0;7
8943;0;19
8942;0;211
8941;0;302
8940;0;58
8939;0;121
8938;0;21
8937;0;162
8936;0;9
8935;0;196
8934;1;0
8933;0;6
8932;0;217
8931;0;11
8930;0;11
8929;0;12
8928;0;19
8927;0;221
8926;0;3
8925;0;9
8924;0;3
8923;0;5
8922;6;0
8921;0;36
8920;0;407
8919;0;4
8918;0;4
8917;0;7
8916;6;0
8915;0;148
8914;0;620
8913;7;0
8912;0;8
8911;0;177
8910;0;385
8909;0;61
8908;0;55
8907;0;4
8906;0;5
8905;0;51
8904;0;13
8903;0;25
8902;0;2
8901;0;3
8900;0;15
8899;0;6
